=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.24 12:32:52 =~=~=~=~=~=~=~=~=~=~=~=
8;0;14
8;0;13
8;0;14
8;0;13
8;0;13
8;0;14
8;0;13
8;0;14
8;0;13
8;0;14
8;0;14
8;0;14
8;0;13
8;0;14
8;0;14
8;0;14
8;0;12
8;0;14
8;0;13
8;0;14
8;0;14
8;0;13
8;0;14
8;0;14
8;0;14
8;0;10
8;0;14
8;0;14
8;0;14
8;0;13
8;0;14
8;0;14
8;0;14
8;0;15
8;0;14
8;0;14
8;0;14
8;0;13
8;0;14
8;0;14
8;0;13
8;0;14
8;0;13
8;0;13
8;0;14
8;0;14
8;0;13
8;0;14
8;0;13
8;0;13
8;0;14
8;0;13
8;0;13
8;0;14
8;0;13
8;0;16
8;0;13
8;0;13
8;0;13
8;0;14
8;0;14
8;0;13
8;0;13
8;0;14
8;0;14
8;0;14
8;0;14
8;0;13
8;0;15
8;0;14
8;0;15
8;0;13
8;0;14
8;0;14
8;0;14
8;0;12
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;16
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;13
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;15
8;0;14
8;0;14
8;0;13
8;0;14
8;0;14
8;0;14
8;0;14
8;0;13
8;0;14
8;0;14
8;0;13
8;0;14
8;0;16
8;0;14
8;0;15
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;15
8;0;14
8;0;14
8;0;10
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;14
8;0;15
8;0;14
8;0;14
8;2;14
8;5;12
8;10;10
8;15;4
8;22;4
8;28;0
8;34;0
8;40;0
8;47;0
8;53;0
8;59;0
8;65;3
8;72;5
9;78;7
9;84;9
9;90;12
9;97;10
10;103;15
10;109;15
11;115;14
12;122;15
13;128;14
14;134;13
15;140;16
16;147;16
17;153;14
19;159;13
21;165;17
23;172;16
24;178;14
26;184;19
28;191;19
30;197;19
33;203;20
35;209;17
38;216;16
40;222;16
43;2246;234;14
49;241;13
53;247;14
56;253;14
59;259;14
63;266;13
66;272;13
70;278;14
73;284;11
77;291;10
81;297;12
85;303;16
88;310;13
92;316;11
97;322;15
101;328;12
105;335;15
109;341;13
114;347;14
118;353;15
123;360;11
127;366;11
132;372;9
136;378;10
141;385;10
146;391;12
151;397;10
156;403;8
161;410;6
166;416;9
171;422;7
176;429;9
181;435;6
186;441;11
192;447;8
197;454;9
202;460;7
208;466;6
213;472;7
219;479;4
224;485;5
230;491;4
235;497;7
241;504;2
247;510;5
252;516;4
258;522;7
264;529;4
269;535;5
275;541;1
281;547;5
287;554;3
293;560;4
299;567;3
305;575;4
311;580;5
317;583;0
323;586;0
328;587;3
334;587;0
340;587;0
345;587;0
351;587;0
356;587;1
361;587;0
366;587;1
371;587;0
376;587;2
381;587;0
385;587;0
390;587;0
394;587;0
398;587;0
403;587;2
407;587;0
411;587;0
414;587;0
418;587;2
422;587;3
426;587;2
429;587;5
433;587;3
437;587;0
440;587;0
443;587;3
447;587;0
450;587;4
453;587;3
456;587;4
459;587;4
462;587;3
464;587;1
467;587;1
470;587;2
472;587;4
475;587;4
477;587;5
480;587;3
482;587;5
484;587;4
487;587;4
489;587;2
491;587;5
